Country,Year,Code,HCI
Marshall Islands,2020,MHL,0.445
Mauritania,2020,MRT,0.393
Mauritius,2020,MUS,
Mexico,2020,MEX,0.627
"Micronesia, Fed. Sts.",2020,FSM,0.527
Moldova,2020,MDA,0.607
Monaco,2020,MCO,
Mongolia,2020,MNG,0.636
Montenegro,2020,MNE,0.64
Morocco,2020,MAR,0.516
Mozambique,2020,MOZ,
Myanmar,2020,MMR,0.495
Namibia,2020,NAM,
Nauru,2020,NRU,0.531
Nepal,2020,NPL,
Netherlands,2020,NLD,0.807
New Caledonia,2020,NCL,
New Zealand,2020,NZL,0.791
Nicaragua,2020,NIC,0.527
Niger,2020,NER,0.313
Nigeria,2020,NGA,0.366
North Macedonia,2020,MKD,0.573
Northern Mariana Islands,2020,MNP,
Norway,2020,NOR,0.793
Oman,2020,OMN,0.648
Pakistan,2020,PAK,0.401
Palau,2020,PLW,0.616
Panama,2020,PAN,0.519
Papua New Guinea,2020,PNG,0.429
Paraguay,2020,PRY,0.531
Peru,2020,PER,0.605
Philippines,2020,PHL,0.538
Poland,2020,POL,0.786
Portugal,2020,PRT,0.781
Puerto Rico,2020,PRI,
Qatar,2020,QAT,0.67
Romania,2020,ROU,0.611
Russian Federation,2020,RUS,0.726
Rwanda,2020,RWA,0.394
Samoa,2020,WSM,0.581
San Marino,2020,SMR,
Sao Tome and Principe,2020,STP,
Saudi Arabia,2020,SAU,0.595
Senegal,2020,SEN,0.44
Serbia,2020,SRB,0.695
Seychelles,2020,SYC,
Sierra Leone,2020,SLE,0.37
Singapore,2020,SGP,0.89
Sint Maarten (Dutch part),2020,SXM,
Slovak Republic,2020,SVK,0.691
Slovenia,2020,SVN,0.803
Solomon Islands,2020,SLB,0.433
Somalia,2020,SOM,
South Africa,2020,ZAF,0.446
South Sudan,2020,SSD,
Spain,2020,ESP,0.74
Sri Lanka,2020,LKA,
St. Kitts and Nevis,2020,KNA,0.6
St. Lucia,2020,LCA,0.627
St. Martin (French part),2020,MAF,
St. Vincent and the Grenadines,2020,VCT,0.571
Sudan,2020,SDN,0.385
Suriname,2020,SUR,
Sweden,2020,SWE,0.81
Switzerland,2020,CHE,0.765
Syrian Arab Republic,2020,SYR,
Tajikistan,2018,TJK,0.541
Tanzania,2020,TZA,0.401
Thailand,2020,THA,0.632
Timor-Leste,2020,TLS,0.473
Togo,2020,TGO,0.43
Tonga,2020,TON,0.557
Trinidad and Tobago,2020,TTO,
Tunisia,2020,TUN,0.539
Turkiye,2020,TUR,0.658
Turkmenistan,2020,TKM,
Turks and Caicos Islands,2020,TCA,
Tuvalu,2020,TUV,0.471
Uganda,2020,UGA,
Ukraine,2020,UKR,0.677
United Arab Emirates,2020,ARE,0.688
United Kingdom,2020,GBR,0.791
United States,2020,USA,0.72
Uruguay,2020,URY,0.624
Uzbekistan,2020,UZB,0.631
Vanuatu,2020,VUT,0.468
"Venezuela, RB",2020,VEN,
Vietnam,2020,VNM,0.728
Virgin Islands (U.S.),2020,VIR,
West Bank and Gaza,2020,PSE,0.607
"Yemen, Rep.",2020,YEM,0.367
Zambia,2020,ZMB,
Zimbabwe,2020,ZWE,
